id,name,description,density_score,primary_muscles,secondary_muscles,implicit_hits,is_unilateral,setup_buffer_sec,avg_time_per_set_sec,is_timed,equipment_needed,movement_pattern,tempo_category,created_at,updated_at,is_stretch
,45-Degree Back Extension,"Set hips on 45-degree bench. Lower torso, then raise by extending hips and squeezing glutes.",6,"[""glutes""]","[""hamstrings"",""lower_back""]","{""hamstrings"":0.6,""lower_back"":0.5}",false,15,45,false,"[""back_extension_bench""]",hinge,controlled,,,false
,90/90 Hip Switch,Sit in 90/90 hip position and rotate knees side to side with control.,3,"[""glutes""]","[""hip_flexors"",""adductors"",""glute_medius""]","{""hip_flexors"":0.4,""adductors"":0.3,""glute_medius"":0.4}",false,5,60,true,[],stretch,controlled,,,true
,Ab Wheel Rollout,"Kneel with ab wheel under shoulders. Roll forward while bracing, then pull back to start.",7,"[""abs""]","[""lats"",""triceps"",""hip_flexors""]","{""lats"":0.5,""triceps"":0.3,""hip_flexors"":0.3}",false,5,35,false,"[""ab_wheel""]",anti-rotation,controlled,,,false
,Adductor Rock Back,Start on hands and knees with one leg extended to side. Rock hips back and forward slowly.,3,"[""adductors""]","[""hamstrings"",""glutes""]","{""hamstrings"":0.3,""glutes"":0.2}",true,5,45,true,[],stretch,controlled,,,true
,Ankle Dorsiflexion Mobilization,Kneel with one foot forward and drive knee over toes while heel stays down.,3,"[""calves""]","[""soleus"",""tibialis_anterior""]","{""soleus"":0.5,""tibialis_anterior"":0.2}",true,5,45,true,[],stretch,controlled,,,true
,Archer Push Up,"Use a wide hand position. Shift weight toward one arm as the opposite arm stays straighter, then alternate.",8,"[""chest""]","[""triceps"",""anterior_deltoids"",""abs""]","{""triceps"":0.6,""anterior_deltoids"":0.6,""abs"":0.4}",false,5,45,false,[],push,controlled,,,false
,Arm Circles,Extend arms and make controlled circles forward and backward to warm shoulders.,3,"[""anterior_deltoids""]","[""lateral_deltoids"",""posterior_deltoids"",""rotator_cuff""]","{""lateral_deltoids"":0.5,""posterior_deltoids"":0.4,""rotator_cuff"":0.3}",false,5,40,true,[],stretch,controlled,,,true
,Arnold Press,"Start with dumbbells at shoulder level, palms facing you. Rotate wrists outward while pressing overhead. Reverse motion on descent.",7,"[""anterior_deltoids""]","[""lateral_deltoids"",""triceps"",""upper_chest""]","{""triceps"":0.6,""upper_chest"":0.3,""lateral_deltoids"":0.7}",false,25,55,false,"[""dumbbells""]",push,controlled,,,false
,Assisted Pull Up,"Use an assisted pull-up machine or band. Pull chest toward bar, then lower with control.",7,"[""lats""]","[""biceps"",""upper_back"",""forearms""]","{""biceps"":0.6,""upper_back"":0.5,""forearms"":0.4}",false,20,45,false,"[""assisted_pull_up_machine""]",pull,controlled,,,false
,Back Extension,"Anchor hips in back extension bench. Lower torso, then extend hips to raise body in line.",6,"[""lower_back""]","[""glutes"",""hamstrings""]","{""glutes"":0.6,""hamstrings"":0.6}",false,15,45,false,"[""back_extension_bench""]",hinge,controlled,,,false
,Back Squat (High Bar),"Place bar high on traps. Squat down with upright torso, then drive through feet to stand.",9,"[""quads""]","[""glutes"",""hamstrings"",""abs"",""lower_back""]","{""glutes"":0.7,""hamstrings"":0.4,""abs"":0.5,""lower_back"":0.4}",false,45,90,false,"[""barbell"",""squat_rack""]",squat,controlled,,,false
,Back Squat (Low Bar),"Place bar lower across rear delts. Sit hips back and down, then drive up through midfoot.",9,"[""glutes""]","[""quads"",""hamstrings"",""lower_back"",""abs""]","{""quads"":0.7,""hamstrings"":0.5,""lower_back"":0.5,""abs"":0.4}",false,45,90,false,"[""barbell"",""squat_rack""]",squat,controlled,,,false
,Band External Rotation,Anchor a band at elbow height. Rotate forearm outward while keeping elbow at the side.,3,"[""rotator_cuff""]","[""posterior_deltoids""]","{""posterior_deltoids"":0.3}",true,10,35,false,"[""resistance_band""]",pull,controlled,,,false
,Band Pull-Apart,"Hold band at shoulder height. Pull band apart until hands move out to sides, then return slowly.",4,"[""posterior_deltoids""]","[""upper_back"",""traps"",""rotator_cuff""]","{""upper_back"":0.6,""traps"":0.4,""rotator_cuff"":0.4}",false,5,35,false,"[""resistance_band""]",pull,controlled,,,false
,Band Shoulder Dislocates,"Hold a band wide and move arms from front to overhead and behind, then return.",3,"[""chest""]","[""anterior_deltoids"",""lats"",""rotator_cuff""]","{""anterior_deltoids"":0.5,""lats"":0.3,""rotator_cuff"":0.3}",false,5,45,true,"[""resistance_band""]",stretch,controlled,,,true
,Banded Clamshell,"Lie on side with knees bent and band above knees. Open top knee, pause, then lower.",3,"[""glute_medius""]","[""glutes"",""obliques""]","{""glutes"":0.5,""obliques"":0.2}",true,10,35,false,"[""resistance_band""]",hinge,controlled,,,false
,Banded Lateral Walk,"Place resistance band around legs. Step sideways with controlled tension, keeping knees slightly bent.",4,"[""glute_medius""]","[""glutes"",""quads""]","{""glutes"":0.5,""quads"":0.3}",false,10,40,false,"[""resistance_band""]",lunge,controlled,,,false
,Barbell Glute Bridge,"Lie on floor with bar over hips. Drive hips upward, squeeze glutes, then lower to floor.",7,"[""glutes""]","[""hamstrings"",""abs""]","{""hamstrings"":0.5,""abs"":0.3}",false,30,45,false,"[""barbell""]",hinge,controlled,,,false
,Barbell Shrug,"Hold bar in front of thighs. Elevate shoulders straight up, pause, then lower.",5,"[""traps""]","[""forearms"",""upper_back""]","{""forearms"":0.4,""upper_back"":0.3}",false,20,40,false,"[""barbell""]",pull,controlled,,,false
,Battle Ropes,"Hold rope ends and create waves, slams, or alternating pulses while bracing core.",8,"[""anterior_deltoids""]","[""abs"",""lats"",""forearms"",""traps""]","{""abs"":0.6,""lats"":0.4,""forearms"":0.5,""traps"":0.4}",false,15,30,false,"[""battle_rope""]",push,explosive,,,false
,Bear Crawl,Move forward on hands and feet with knees close to floor. Keep hips low and core braced.,7,"[""abs""]","[""quads"",""anterior_deltoids"",""obliques""]","{""quads"":0.5,""anterior_deltoids"":0.5,""obliques"":0.5}",false,5,40,false,[],anti-rotation,controlled,,,false
,Belt Squat,"Attach belt to loading point. Squat while torso stays upright, then stand through midfoot.",8,"[""quads""]","[""glutes"",""hamstrings""]","{""glutes"":0.7,""hamstrings"":0.3}",false,25,60,false,"[""belt_squat_machine""]",squat,controlled,,,false
,Bench Dip,"Place hands on a bench behind hips. Lower by bending elbows, then press back up.",6,"[""triceps""]","[""chest"",""anterior_deltoids""]","{""chest"":0.4,""anterior_deltoids"":0.5}",false,5,35,false,"[""bench""]",push,controlled,,,false
,Bench Press (Barbell),"Lie on bench with feet flat. Lower bar to chest with control, press up explosively. Keep core tight and shoulder blades retracted.",9,"[""chest""]","[""anterior_deltoids"",""serratus_anterior""]","{""triceps"":0.6,""anterior_deltoids"":0.5}",false,30,60,false,"[""barbell"",""bench""]",push,explosive,,,false
,Bench Press (Dumbbell),"Lie on a flat bench holding dumbbells at chest level. Press up until arms are extended, then lower with control.",8,"[""chest""]","[""triceps"",""anterior_deltoids""]","{""triceps"":0.6,""anterior_deltoids"":0.6}",false,25,60,false,"[""dumbbells"",""bench""]",push,controlled,,,false
,Bench Press (Smith Machine),"Lie under a Smith machine bar. Unrack, lower bar to mid-chest, then press upward while keeping shoulder blades set.",8,"[""chest""]","[""triceps"",""anterior_deltoids""]","{""triceps"":0.6,""anterior_deltoids"":0.5}",false,35,60,false,"[""smith_machine"",""bench""]",push,controlled,,,false
,Bent Over Row (Barbell),"Hinge at hips, back straight. Pull bar to lower chest/upper abdomen, squeeze shoulder blades. Lower with control.",9,"[""lats""]","[""upper_back"",""lower_back"",""biceps"",""hamstrings""]","{""biceps"":0.5,""hamstrings"":0.3,""lower_back"":0.6,""upper_back"":0.8}",false,30,60,false,"[""barbell""]",pull,controlled,,,false
